evaluation_modes,metametric_mean,metametric_std,metametric_correlation_to_number_of_agents,metametric_correlation_to_avg_difficulty,average_displacement_error_mean,average_displacement_error_std,average_displacement_error_correlation_to_number_of_agents,average_displacement_error_correlation_to_avg_difficulty,linear_speed_likelihood_mean,linear_speed_likelihood_std,linear_speed_likelihood_correlation_to_number_of_agents,linear_speed_likelihood_correlation_to_avg_difficulty,linear_acceleration_likelihood_mean,linear_acceleration_likelihood_std,linear_acceleration_likelihood_correlation_to_number_of_agents,linear_acceleration_likelihood_correlation_to_avg_difficulty,angular_speed_likelihood_mean,angular_speed_likelihood_std,angular_speed_likelihood_correlation_to_number_of_agents,angular_speed_likelihood_correlation_to_avg_difficulty,angular_acceleration_likelihood_mean,angular_acceleration_likelihood_std,angular_acceleration_likelihood_correlation_to_number_of_agents,angular_acceleration_likelihood_correlation_to_avg_difficulty,distance_to_nearest_object_likelihood_mean,distance_to_nearest_object_likelihood_std,distance_to_nearest_object_likelihood_correlation_to_number_of_agents,distance_to_nearest_object_likelihood_correlation_to_avg_difficulty,collision_indication_likelihood_mean,collision_indication_likelihood_std,collision_indication_likelihood_correlation_to_number_of_agents,collision_indication_likelihood_correlation_to_avg_difficulty,time_to_collision_likelihood_mean,time_to_collision_likelihood_std,time_to_collision_likelihood_correlation_to_number_of_agents,time_to_collision_likelihood_correlation_to_avg_difficulty,distance_to_road_edge_likelihood_mean,distance_to_road_edge_likelihood_std,distance_to_road_edge_likelihood_correlation_to_number_of_agents,distance_to_road_edge_likelihood_correlation_to_avg_difficulty,offroad_indication_likelihood_mean,offroad_indication_likelihood_std,offroad_indication_likelihood_correlation_to_number_of_agents,offroad_indication_likelihood_correlation_to_avg_difficulty,min_average_displacement_error_mean,min_average_displacement_error_std,min_average_displacement_error_correlation_to_number_of_agents,min_average_displacement_error_correlation_to_avg_difficulty
1_frames,0.2901079258322716,0.13537406110261024,-0.16449022821495668,-0.15576449823673671,9.165703231811523,4.917957578740003,-0.3315214857168444,0.09909972610615442,0.14050949049482006,0.17955859272459126,0.3112713486611046,-0.0739518835995716,0.15370908332057298,0.06981551093481599,-0.0802483886748121,-0.013343086708843084,0.017437505023175568,0.045861150035997354,-0.02057104866207789,0.03894397626012972,0.03440833712113085,0.025984869947103088,-0.06953988977475799,-0.06029993458065675,0.2384741575064836,0.17937017162545102,0.2454319588837257,-0.17117538498075294,0.3364531226335566,0.44639607109401525,-0.2601749903799504,-0.018576489279974427,0.7508241499178111,0.24164207546361138,-0.08183206291478691,0.009577658645864419,0.49338238966465,0.22100222083670337,-0.06077613522147427,-0.19477548609992792,0.36088495444941143,0.4424576641273289,-0.08305055765734524,-0.14948645338764094,9.16570324909687,4.917957617953303,-0.331521487192748,0.09909972009907879
2_frames,0.2698906764872372,0.11864087008382883,-0.22702999412697014,-0.11373643838585598,10.689168982028962,6.590794427996899,-0.33614561072845955,-0.05325107987638757,0.19674488888701308,0.19717316808053786,0.3423842352484397,-0.08524727182074378,0.16331685627996922,0.047984966908925016,0.14131518951891126,-0.10034874346630589,0.2779417583973809,0.15833184316132698,-0.1454789974176366,0.02328462350770082,0.24145024949871002,0.13620283122982602,-0.2832722664558008,-0.06092362997294318,0.20091144552084733,0.16517440029210165,0.19077393891550537,-0.07599297029068224,0.27366673892282417,0.41865609752701416,-0.2898154900576639,-0.03498161663776004,0.7621683592367917,0.23102673087768902,-0.10147633187359158,0.020440229899989323,0.36500536525761706,0.19705761116453907,-0.10168626460535567,-0.12660008382322724,0.12195638892822894,0.2954542074385834,-0.09699445983155026,-0.10429385263517084,10.689168936252594,6.590794351894762,-0.3361456117385879,-0.05325107762523422
5_frames,0.32907542735338213,0.12664160500031502,-0.24416425264000424,-0.0955919856465711,8.387056567311287,5.820667476977835,-0.28343502397131876,-0.05508222480517697,0.2375225443469826,0.19490847413630172,0.32474375473827305,-0.08609146048818367,0.17581893573701382,0.04360169065376232,0.17633139391403854,-0.10214250322780877,0.36494968685368073,0.15942635805379685,-0.10742461993031821,-0.005609858206146495,0.2289100024662912,0.10710885082322508,-0.2649359220389413,-0.09642339657867566,0.252968713921553,0.17334463945006665,0.17135477816139572,-0.1445427426295806,0.33602566969465614,0.4456395596735741,-0.3162075817346183,-0.029485008848872844,0.7735933444201947,0.21938321862297247,-0.10367208556141004,-0.0031845204806715786,0.4816176741272211,0.20967338592165038,-0.13919754539975066,-0.1257872822212919,0.23448062678894344,0.38686849667250184,-0.08400168482726643,-0.030561526701409117,8.387056594729424,5.820667500620706,-0.2834350204341295,-0.055082224768674685
10_frames,0.42559570556879045,0.13907764829486477,-0.2871113072911983,-0.15416171417173374,5.335434161841869,3.640526425744312,-0.25638380256372023,-0.039850751110110806,0.28280442599364325,0.19031756095913788,0.27682982572011017,-0.10015616517246233,0.20337910106778145,0.04794175364545939,0.16070643398749912,-0.13291062757659255,0.3922669137916528,0.15675753697349631,-0.12394962538521556,0.010784061924178164,0.2530616151676513,0.12056128045498032,-0.28906137992633335,-0.07837458036208796,0.2933366825520061,0.18983675761131968,0.19971141390913003,-0.13940761475388636,0.4653409547217051,0.4655440322260497,-0.2852091854902949,-0.021902815129099532,0.7823430497981608,0.21003415752330418,-0.11356819331571003,0.02244752850063728,0.5780618728660047,0.21056230406513043,-0.15744366335810936,-0.1304563247732933,0.5064527080548322,0.45653863703508785,-0.1808592027385123,-0.1483146355324238,5.335434161126614,3.6405264116590526,-0.25638379862421296,-0.03985075090768075
20_frames,0.477829003572464,0.14359433350245798,-0.29070421361973636,-0.1331443682899168,2.616916871577501,1.4418970032355867,-0.09253490087539254,0.2583929488853967,0.3492150416138757,0.21952555411094196,0.12899891901074634,-0.1801215760239331,0.21523042955249547,0.051542026767029805,0.05357536773297142,-0.1612480285612457,0.3965181305562146,0.15780845153110262,-0.10401342505927542,0.010499280326274013,0.25708182706544175,0.127419457774867,-0.2790309453731199,-0.08909677404158584,0.2916943643318955,0.1918435082012629,0.1866271828222309,-0.12767145390713516,0.5848126492310949,0.4592868546457167,-0.2688189424243893,-0.034795137158972,0.7910888107940555,0.21527989178544224,-0.10178929229548553,0.013974138250624112,0.6017384555973112,0.21132943529377124,-0.1342534484596371,-0.1641593593426874,0.6185092935286921,0.4439137999579299,-0.2044501460712356,-0.07517734941606849,2.6169168585538864,1.4418969961421542,-0.09253490300586749,0.25839294939076896
40_frames,0.4882450810074806,0.14320387035361695,-0.2494997220738725,-0.1864222347011099,2.4490789190083744,1.4051518549711028,-0.10877415421056508,0.2529680193216028,0.3852392524139723,0.2118945562993942,0.14618164976274825,-0.186106187186906,0.19881160749867557,0.04290821115247116,0.11304888614147186,-0.21556880653532004,0.39245653979340567,0.15739802735469305,-0.0898485840944119,0.020321421261959387,0.24972187615698205,0.12598683315360884,-0.27201220257741165,-0.1153234616586896,0.3006418649798725,0.19215821113513662,0.19693830560752681,-0.13174395780703974,0.6016673085530893,0.4575124931172354,-0.22970887353233918,-0.07452070882597149,0.7925126212835312,0.2139430737610546,-0.09971934216098373,0.022631861430749477,0.608619788730517,0.21357770382128266,-0.12344553154492226,-0.1541621054250686,0.6468034794683662,0.4377463997423035,-0.18773522978167625,-0.13138154449677028,2.4490789133459328,1.4051518547344142,-0.10877415641262995,0.2529680242793053
80_frames,0.4780333236604929,0.13972992649780036,-0.24334117511592168,-0.18470079815193283,2.3927659405469894,1.4227163275763002,-0.10246563432256897,0.22903905228042448,0.3984326342917047,0.20618455209822303,0.16056214086101364,-0.17069484750880962,0.18281585878506304,0.03949454758840168,0.13747724946481,-0.24622593081652672,0.3716976233134046,0.1643166976280407,-0.09070751622738206,0.024862872879798523,0.22661033650022,0.1232088074922322,-0.26002147081034027,-0.15045360940489153,0.30143051057565023,0.196255686024853,0.19538527190489138,-0.1306678215235495,0.5526832182376674,0.4622461996317693,-0.25171109371143086,-0.045746273449280624,0.7905534740835428,0.20940565303115952,-0.10294983582742141,0.025850286595083996,0.6145320156160742,0.21235077524851168,-0.12432601126950954,-0.17396598511997555,0.6600211340870629,0.4306486329817634,-0.14753941794012038,-0.148522523400094,2.392765934288502,1.4227163163347225,-0.10246563894792425,0.2290390540251192
constant_velocity,0.30166932520270345,0.14259774116159232,-0.18504700475769065,-0.17548001395038168,7.295361114829778,3.728979068986684,-0.17501882393801413,0.22965061844891424,0.08360915370138534,0.19014223994868176,0.16688406455977944,-0.12058211394836996,0.16126343661919237,0.0844623260832323,-0.0859648583762327,-0.1497033374615197,0.017437505023175568,0.045861150035997354,-0.02057104866207789,0.03894397626012972,0.03440833712113085,0.025984869947103088,-0.06953988977475799,-0.06029993458065675,0.22694744371809064,0.18120385766285976,0.22920720944444065,-0.1867097808741031,0.35675720010906664,0.4451357730767611,-0.2538961938226224,-0.000679486869349383,0.7492489990079776,0.24938788311682508,-0.0811351240630054,0.003407697924110722,0.48128835803642867,0.23665899622630707,-0.07345787446115633,-0.18089977337427218,0.4420818116292756,0.452005433604366,-0.10264329159889789,-0.18393785540479624,7.258590964227915,3.727171380151915,-0.1734701946434769,0.2301384032502935
