eval_mode,avg_moving_perc_mean,avg_moving_perc_std,avg_turning_perc_mean,avg_turning_perc_std
1,0.44050765708737566,0.24790211034893556,0.007158467542045733,0.0445197019206112
2,0.663747962523192,0.19949495074475204,0.27824923191868783,0.19428293675761454
5,0.650609108413739,0.20723615156212366,0.24642617594756389,0.17476559208349415
10,0.5981665550247769,0.2287861268512226,0.16948662748599852,0.15614872988323225
20,0.5906256432602396,0.2324999598885886,0.1554065415403977,0.15029545134278494
40,0.539814150156751,0.24324405936960622,0.17964134243709878,0.1678240064359229
80,0.5235026326694893,0.24714027416345755,0.1880958803763292,0.17478390197718321
constant_velocity,0.5287312264530057,0.2429779493483912,0.0008711766735679777,0.016916997287784834
ground_truth,0.4582673127829299,0.2510542221087803,0.13231317876728507,0.16067751660286522
